	target	i02	i08	i14	i15	i06	i16	i11	i12	i07	i04	i05	i03	i13	i01	i10	i09
UNC5CL_-_41006919.23-P1P2|UNC5CL_-_41006907.23-P1P2++UNC5CL_-_41006919.23-P1P2|UNC5CL_-_41006907.23-P1P2	UNC5CL	957	1235	1387	1204	1569	1598	1642	1973	2142	1848	1807	1829	3551	794	809	1216
ZCCHC8_-_122985002.23-P1P2|ZCCHC8_+_122985231.23-P1P2++ZCCHC8_-_122985002.23-P1P2|ZCCHC8_+_122985231.23-P1P2	ZCCHC8	1394	701	1549	1440	1414	1554	1279	1607	1473	1298	1002	1179	2966	1099	1485	1310
ERVV-2_+_53548012.23-P1P2|ERVV-2_-_53547989.23-P1P2++ERVV-2_+_53548012.23-P1P2|ERVV-2_-_53547989.23-P1P2	ERVV-2	872	1451	884	1221	1661	2060	2180	1496	2002	1853	2201	2181	3986	1098	799	875
APOA5_+_116662572.23-P1P2|APOA5_+_116662545.23-P1P2++APOA5_+_116662572.23-P1P2|APOA5_+_116662545.23-P1P2	APOA5	952	868	1149	893	1420	1543	1717	1476	1747	1310	2192	1847	4655	834	922	787
DLX1_+_172949722.23-P1P2|DLX1_-_172949542.23-P1P2++DLX1_+_172949722.23-P1P2|DLX1_-_172949542.23-P1P2	DLX1	1286	2117	1614	1399	1520	1639	1882	2020	1894	2024	2658	2459	3812	1008	1156	1542
non-targeting_01101|non-targeting_02369++non-targeting_01101|non-targeting_02369	non-targeting	1523	1552	1559	1708	2248	1736	2301	3060	2329	2665	2334	2633	3989	1395	1631	1722
ZNF326_+_90460707.23-P1P2|ZNF326_+_90460690.23-P1P2++ZNF326_+_90460707.23-P1P2|ZNF326_+_90460690.23-P1P2	ZNF326	1868	1108	1363	1428	873	1361	985	1007	1200	1162	1468	1141	2384	1702	1944	2200
CHUK_-_101989295.23-P1P2|CHUK_-_101989292.23-P1P2++CHUK_-_101989295.23-P1P2|CHUK_-_101989292.23-P1P2	CHUK	2341	3348	2948	2973	4087	3675	3885	3992	4271	4289	4677	4393	8958	2261	2247	2680
NINL_+_25566156.23-P1P2|NINL_+_25566141.23-P1P2++NINL_+_25566156.23-P1P2|NINL_+_25566141.23-P1P2	NINL	1917	3234	2111	1716	3651	2221	3900	3287	3778	3916	4387	4254	7481	1446	1731	1975
ACTL7A_-_111624608.23-P1P2|ACTL7A_-_111624563.23-P1P2++ACTL7A_-_111624608.23-P1P2|ACTL7A_-_111624563.23-P1P2	ACTL7A	1243	1180	1358	1174	2102	1678	1814	1663	1843	1968	2008	2847	3254	1182	1071	1045
C19orf43_+_12845386.23-P1P2|C19orf43_-_12845065.23-P1P2++C19orf43_+_12845386.23-P1P2|C19orf43_-_12845065.23-P1P2	C19orf43	1324	990	1806	1813	767	1867	2503	1884	1003	1659	1298	1393	4392	1127	1098	1059
BST1_-_15704748.23-P1P2|BST1_-_15704751.23-P1P2++BST1_-_15704748.23-P1P2|BST1_-_15704751.23-P1P2	BST1	1425	1792	1491	1972	1572	1852	2124	2473	1785	1912	2322	1901	3957	1148	1502	1340
GTDC1_+_145089884.23-P1P2|GTDC1_+_145089989.23-P1P2++GTDC1_+_145089884.23-P1P2|GTDC1_+_145089989.23-P1P2	GTDC1	1052	1197	1316	1045	1177	1138	1259	1518	1526	1316	1688	1888	3927	705	984	1008
STUB1_-_730439.23-P1P2|STUB1_-_730848.23-P1P2++STUB1_-_730439.23-P1P2|STUB1_-_730848.23-P1P2	STUB1	1153	1494	1548	1619	1643	1262	2258	1810	1567	1788	1885	1629	3778	1092	735	1275
LEPREL2_+_6937569.23-P1P2|LEPREL2_-_6937584.23-P1P2++LEPREL2_+_6937569.23-P1P2|LEPREL2_-_6937584.23-P1P2	LEPREL2	1050	1477	1251	1348	1433	1510	1486	1877	1589	2237	2346	1674	3242	1124	1095	1239
SYPL1_-_105752693.23-P1P2|SYPL1_-_105752731.23-P1P2++SYPL1_-_105752693.23-P1P2|SYPL1_-_105752731.23-P1P2	SYPL1	2182	2589	2777	2539	3667	3364	4032	3366	3462	3961	4226	3673	7070	1876	1974	1698
AZU1_-_827900.23-P1|AZU1_+_827901.23-P1++AZU1_-_827900.23-P1|AZU1_+_827901.23-P1	AZU1	1574	2318	2090	2309	2304	2185	2752	2737	3199	2576	3224	3409	5454	1577	1657	1955
NPC1L1_+_44580791.23-P1P2|NPC1L1_+_44580637.23-P1P2++NPC1L1_+_44580791.23-P1P2|NPC1L1_+_44580637.23-P1P2	NPC1L1	2422	2610	2603	2453	2853	3247	3788	3135	4015	3850	4058	4233	9018	1907	1944	2257
PNPLA4_+_7895406.23-P1P2|PNPLA4_+_7895409.23-P1P2++PNPLA4_+_7895406.23-P1P2|PNPLA4_+_7895409.23-P1P2	PNPLA4	846	993	915	638	1005	1023	861	860	851	981	948	1409	1893	736	698	684
ARFRP1_-_62338974.23-P1P2|ARFRP1_+_62339198.23-P1P2++ARFRP1_-_62338974.23-P1P2|ARFRP1_+_62339198.23-P1P2	ARFRP1	1300	2037	1850	2011	2176	1878	1993	2379	2482	2410	3246	3241	4742	1047	1115	1333
C2orf74_-_61372259.23-P1P2|C2orf74_-_61372320.23-P1P2++C2orf74_-_61372259.23-P1P2|C2orf74_-_61372320.23-P1P2	C2orf74	1379	2220	2016	1671	2358	2539	2740	2443	2251	2990	2454	2959	5048	1312	1668	2055
CALHM1_+_105218592.23-P1P2|CALHM1_-_105218413.23-P1P2++CALHM1_+_105218592.23-P1P2|CALHM1_-_105218413.23-P1P2	CALHM1	1673	1938	2046	2037	2395	2533	3118	3344	3474	3478	3866	4172	7964	1433	1095	2029
ZNF613_+_52430934.23-P1P2|ZNF613_-_52430776.23-P1P2++ZNF613_+_52430934.23-P1P2|ZNF613_-_52430776.23-P1P2	ZNF613	1160	1940	1074	1197	1209	1427	1585	1613	2238	1563	2574	2560	3908	1079	851	1143
C1orf123_+_53686240.23-P1P2|C1orf123_+_53686261.23-P1P2++C1orf123_+_53686240.23-P1P2|C1orf123_+_53686261.23-P1P2	C1orf123	1697	291	1315	1044	238	1575	1054	830	312	249	211	262	1921	1589	1778	1540
HOOK3_-_42752150.23-P1P2|HOOK3_-_42752153.23-P1P2++HOOK3_-_42752150.23-P1P2|HOOK3_-_42752153.23-P1P2	HOOK3	833	1320	1434	1325	1567	1511	1607	1608	1521	1774	1287	1792	2949	911	1088	1311
KNTC1_-_123011834.23-P1P2|KNTC1_-_123011856.23-P1P2++KNTC1_-_123011834.23-P1P2|KNTC1_-_123011856.23-P1P2	KNTC1	1513	846	985	1029	1096	1336	906	883	1658	1461	1655	1465	2320	1482	1304	1758
USP9Y_+_14813207.23-ENST00000338981.3|USP9Y_-_14813452.23-ENST00000338981.3++USP9Y_+_14813207.23-ENST00000338981.3|USP9Y_-_14813452.23-ENST00000338981.3	USP9Y	486	343	322	639	659	720	894	703	765	855	1010	951	1966	253	330	503
EPB41L1_-_34742904.23-P1P2|EPB41L1_+_34742651.23-P1P2++EPB41L1_-_34742904.23-P1P2|EPB41L1_+_34742651.23-P1P2	EPB41L1	1348	1096	1275	1585	928	1659	1680	1704	1226	1598	1262	1402	4588	1092	1411	1659
SIRPG_+_1638176.23-P1P2|SIRPG_-_1638364.23-P1P2++SIRPG_+_1638176.23-P1P2|SIRPG_-_1638364.23-P1P2	SIRPG	1119	1182	1473	1327	2276	2076	2263	2182	2571	1671	2155	2353	5253	1015	920	1130
CDKL2_+_76555663.23-P1P2|CDKL2_-_76555682.23-P1P2++CDKL2_+_76555663.23-P1P2|CDKL2_-_76555682.23-P1P2	CDKL2	202	80	94	86	191	207	224	74	302	395	94	138	455	192	71	214
BHLHE40_+_5021201.23-P1P2|BHLHE40_-_5021200.23-P1P2++BHLHE40_+_5021201.23-P1P2|BHLHE40_-_5021200.23-P1P2	BHLHE40	2082	2417	1684	1530	2828	1981	2192	2481	4173	2965	4076	2934	4997	1411	1707	1528
CSTF2T_+_53458897.23-P1P2|CSTF2T_-_53459338.23-P1P2++CSTF2T_+_53458897.23-P1P2|CSTF2T_-_53459338.23-P1P2	CSTF2T	1497	1885	1656	2036	2090	1714	2363	2006	1773	2130	2275	2109	4604	1221	1141	1271
COX7C_+_85913816.23-P1P2|COX7C_+_85914019.23-P1P2++COX7C_+_85913816.23-P1P2|COX7C_+_85914019.23-P1P2	COX7C	1508	459	1008	899	495	1502	587	624	478	624	326	542	1588	1241	1221	1511
SCN1A_-_166930100.23-ENST00000303395.4,ENST00000423058.2|SCN1A_-_166929817.23-ENST00000303395.4,ENST00000423058.2++SCN1A_-_166930100.23-ENST00000303395.4,ENST00000423058.2|SCN1A_-_166929817.23-ENST00000303395.4,ENST00000423058.2	SCN1A	840	839	654	959	1381	1051	1089	1011	1369	1418	1400	1707	2492	594	576	956
PLP2_-_49028323.23-P1P2|PLP2_+_49028315.23-P1P2++PLP2_-_49028323.23-P1P2|PLP2_+_49028315.23-P1P2	PLP2	1542	2371	2309	1662	2941	1835	2702	2375	3023	2450	2569	3656	5196	1351	1653	1150
TIMP3_+_33197780.23-P1P2|TIMP3_-_33197950.23-P1P2++TIMP3_+_33197780.23-P1P2|TIMP3_-_33197950.23-P1P2	TIMP3	2019	2411	1819	1903	2175	2455	2713	2759	3174	3394	2637	3742	5945	1427	1770	1532
C19orf10_+_4670317.23-P1P2|C19orf10_+_4670339.23-P1P2++C19orf10_+_4670317.23-P1P2|C19orf10_+_4670339.23-P1P2	C19orf10	1433	1386	1442	1688	1672	1766	1435	1662	2006	1695	2129	2682	4344	1271	789	1060
PAPPA2_-_176432331.23-P1P2|PAPPA2_+_176432340.23-P1P2++PAPPA2_-_176432331.23-P1P2|PAPPA2_+_176432340.23-P1P2	PAPPA2	540	494	469	673	798	925	1142	1146	917	1357	1093	1214	2938	461	545	609
COL22A1_-_139925882.23-P1P2|COL22A1_-_139926208.23-P1P2++COL22A1_-_139925882.23-P1P2|COL22A1_-_139926208.23-P1P2	COL22A1	1380	3404	1864	1871	3179	2563	3393	2987	3528	3091	3850	3036	5074	1339	948	1209
AMOT_-_112084054.23-P1P2|AMOT_-_112084018.23-P1P2++AMOT_-_112084054.23-P1P2|AMOT_-_112084018.23-P1P2	AMOT	915	1344	855	778	1486	1085	1285	1469	1665	1884	2067	1466	3421	922	1119	965
RNF31_+_24616693.23-P1P2|RNF31_-_24616020.23-P1P2++RNF31_+_24616693.23-P1P2|RNF31_-_24616020.23-P1P2	RNF31	1291	187	2684	2969	407	2914	1372	1396	403	427	345	373	3520	1208	1948	1816
PHKG2_-_30759762.23-P1P2|PHKG2_+_30759803.23-P1P2++PHKG2_-_30759762.23-P1P2|PHKG2_+_30759803.23-P1P2	PHKG2	1513	1459	1649	1541	1571	1566	1761	1765	2387	2661	2421	2618	4950	887	1168	1160
POLK_+_74807767.23-P1P2|POLK_-_74807738.23-P1P2++POLK_+_74807767.23-P1P2|POLK_-_74807738.23-P1P2	POLK	1861	2471	1619	1482	2619	1959	2014	2024	2460	2604	2694	2985	4292	1695	1506	1148
NECAP1_-_8234887.23-P1P2|NECAP1_-_8234899.23-P1P2++NECAP1_-_8234887.23-P1P2|NECAP1_-_8234899.23-P1P2	NECAP1	1424	2541	2093	2070	2647	2109	2777	2925	3131	2669	3013	3552	5804	1950	1616	1648
ANKZF1_+_220094583.23-P1P2|ANKZF1_+_220094518.23-P1P2++ANKZF1_+_220094583.23-P1P2|ANKZF1_+_220094518.23-P1P2	ANKZF1	1842	1786	3336	3045	2467	3883	3016	3003	2423	2704	2490	3130	5842	1512	2017	1999
DCT_+_95131892.23-P1P2|DCT_+_95131896.23-P1P2++DCT_+_95131892.23-P1P2|DCT_+_95131896.23-P1P2	DCT	1208	1070	960	1384	1297	1541	1541	2179	1342	1834	1795	2021	4594	961	1110	1372
TNFRSF13B_-_16875396.23-P1P2|TNFRSF13B_-_16875350.23-P1P2++TNFRSF13B_-_16875396.23-P1P2|TNFRSF13B_-_16875350.23-P1P2	TNFRSF13B	903	1779	1407	1315	1239	1249	2007	1679	1674	1303	1779	2013	5003	782	1045	978
HOPX_+_57522132.23-P2|HOPX_+_57522156.23-P2++HOPX_+_57522132.23-P2|HOPX_+_57522156.23-P2	HOPX	1235	1749	1917	1742	1980	2296	2003	2016	2092	2364	1791	2139	5118	1044	1298	1049
IL17B_+_148758823.23-P1P2|IL17B_-_148758856.23-P1P2++IL17B_+_148758823.23-P1P2|IL17B_-_148758856.23-P1P2	IL17B	536	262	248	355	377	265	346	266	519	522	477	591	521	407	469	565
NEDD4L_+_55711635.23-ENST00000400345.3|NEDD4L_-_55711493.23-ENST00000400345.3++NEDD4L_+_55711635.23-ENST00000400345.3|NEDD4L_-_55711493.23-ENST00000400345.3	NEDD4L	2617	3426	3270	3339	4338	3276	3698	3752	4996	4528	4793	4782	7162	2295	3014	2788
STRIP1_-_110577243.23-P1P2|STRIP1_-_110577278.23-P1P2++STRIP1_-_110577243.23-P1P2|STRIP1_-_110577278.23-P1P2	STRIP1	1520	1057	1297	1481	1206	1454	1597	1759	1440	1926	1454	1732	3058	1197	1218	1515
THEMIS2_-_28199085.23-P1P2|THEMIS2_+_28199088.23-P1P2++THEMIS2_-_28199085.23-P1P2|THEMIS2_+_28199088.23-P1P2	THEMIS2	987	686	1602	1718	577	1635	1769	1588	726	717	914	817	4233	598	1365	1366
KLF5_-_73633194.23-P1P2|KLF5_-_73633191.23-P1P2++KLF5_-_73633194.23-P1P2|KLF5_-_73633191.23-P1P2	KLF5	884	1519	787	736	1631	907	1470	1700	2292	2335	2665	2521	3807	600	707	847
SMAD9_+_37493930.23-P1P2|SMAD9_-_37494136.23-P1P2++SMAD9_+_37493930.23-P1P2|SMAD9_-_37494136.23-P1P2	SMAD9	1816	2091	1782	2125	2124	2070	1935	1873	2140	2090	2249	2427	3598	1884	1685	2231
CD1A_-_158224302.23-P1P2|CD1A_-_158224222.23-P1P2++CD1A_-_158224302.23-P1P2|CD1A_-_158224222.23-P1P2	CD1A	1425	1215	1236	1631	1791	1728	2242	1776	2381	1921	2040	2076	5203	1061	1400	1373
F2RL2_+_75919206.23-P1P2|F2RL2_+_75919120.23-P1P2++F2RL2_+_75919206.23-P1P2|F2RL2_+_75919120.23-P1P2	F2RL2	696	450	855	882	786	641	754	901	531	804	830	853	2062	791	828	951
PLXNA1_-_126707632.23-ENST00000393409.2|PLXNA1_-_126707617.23-ENST00000393409.2++PLXNA1_-_126707632.23-ENST00000393409.2|PLXNA1_-_126707617.23-ENST00000393409.2	PLXNA1	1531	1750	1791	1518	1720	1982	1992	2068	2237	2209	2374	2528	4741	1033	1118	1122
IMPDH1_-_128045812.23-P1|IMPDH1_+_128045793.23-P1++IMPDH1_-_128045812.23-P1|IMPDH1_+_128045793.23-P1	IMPDH1	672	779	861	885	1011	706	949	1204	1007	883	1222	1197	1998	447	457	798
EMILIN1_-_27301510.23-P1P2|EMILIN1_-_27301546.23-P1P2++EMILIN1_-_27301510.23-P1P2|EMILIN1_-_27301546.23-P1P2	EMILIN1	1405	2326	2017	1734	2371	2337	2181	2527	2888	2985	3189	3345	5364	1448	1226	2092
INSIG1_-_155089737.23-P1P2|INSIG1_+_155089623.23-P1P2++INSIG1_-_155089737.23-P1P2|INSIG1_+_155089623.23-P1P2	INSIG1	1479	2157	1651	1742	2145	1807	2336	2714	3442	3260	3258	3092	4461	1336	1259	1564
RGS8_+_182640986.23-P2|RGS8_-_182641002.23-P2++RGS8_+_182640986.23-P2|RGS8_-_182641002.23-P2	RGS8	717	947	1199	859	993	1039	1045	1259	1054	1267	1190	1032	2525	633	742	768
TMEM145_+_42817474.23-P1P2|TMEM145_+_42817485.23-P1P2++TMEM145_+_42817474.23-P1P2|TMEM145_+_42817485.23-P1P2	TMEM145	1904	2623	1561	2091	2368	2173	2258	2769	2758	2933	3603	3496	4805	1904	2066	1742
HIF3A_-_46800375.23-P2|HIF3A_-_46800336.23-P2++HIF3A_-_46800375.23-P2|HIF3A_-_46800336.23-P2	HIF3A	558	720	794	996	814	552	941	844	946	1104	1278	1102	2458	665	478	590
ZNF146_+_36706067.23-P1P2|ZNF146_-_36706095.23-P1P2++ZNF146_+_36706067.23-P1P2|ZNF146_-_36706095.23-P1P2	ZNF146	1	2	3	2	3	1	5	4	15	5	2	7	7	0	1	1
C15orf27_+_76352406.23-P1P2|C15orf27_+_76352398.23-P1P2++C15orf27_+_76352406.23-P1P2|C15orf27_+_76352398.23-P1P2	C15orf27	1092	1347	1065	1221	1679	1067	2037	1133	1406	1643	1817	1375	3592	746	562	937
FITM1_+_24600918.23-P1P2|FITM1_-_24600862.23-P1P2++FITM1_+_24600918.23-P1P2|FITM1_-_24600862.23-P1P2	FITM1	1005	941	1021	1489	1398	1176	1563	1505	1478	1623	1481	2174	4608	841	811	1137
RPAP2_-_92764613.23-P1P2|RPAP2_+_92764606.23-P1P2++RPAP2_-_92764613.23-P1P2|RPAP2_+_92764606.23-P1P2	RPAP2	614	8	122	91	2	116	13	9	7	57	0	18	54	480	1278	940
NOVA2_+_46476758.23-P1P2|NOVA2_-_46476563.23-P1P2++NOVA2_+_46476758.23-P1P2|NOVA2_-_46476563.23-P1P2	NOVA2	1403	2154	1934	1732	2359	2235	2034	2960	2368	2759	2718	2672	4464	1199	1105	1734
PLAGL1_+_144329361.23-P1|PLAGL1_-_144329396.23-P1++PLAGL1_+_144329361.23-P1|PLAGL1_-_144329396.23-P1	PLAGL1	959	1440	988	1246	1409	1359	1426	1351	1585	1603	1866	2247	3271	945	637	627
HECW2_+_197457831.23-P1P2|HECW2_-_197457789.23-P1P2++HECW2_+_197457831.23-P1P2|HECW2_-_197457789.23-P1P2	HECW2	1779	592	1183	1147	810	1091	926	1127	824	775	780	861	1924	1524	1583	1848
TTLL4_+_219575818.23-P1P2|TTLL4_+_219575754.23-P1P2++TTLL4_+_219575818.23-P1P2|TTLL4_+_219575754.23-P1P2	TTLL4	1152	1247	1397	1369	1428	1817	1954	1762	1704	1692	1595	1889	4297	769	1000	1446
ERVW-1_-_92100569.23-ENST00000493463.2|ERVW-1_-_92100632.23-ENST00000493463.2++ERVW-1_-_92100569.23-ENST00000493463.2|ERVW-1_-_92100632.23-ENST00000493463.2	ERVW-1	311	277	188	250	167	401	379	362	600	349	450	393	1102	216	347	305
TGM2_-_36793663.23-P1P2|TGM2_-_36793688.23-P1P2++TGM2_-_36793663.23-P1P2|TGM2_-_36793688.23-P1P2	TGM2	1876	1975	1715	1445	2587	1398	1870	1596	2243	2742	2502	2262	3101	1547	1286	1562
ATG12_-_115177215.23-P1P2|ATG12_-_115177477.23-P1P2++ATG12_-_115177215.23-P1P2|ATG12_-_115177477.23-P1P2	ATG12	648	964	526	531	988	820	704	836	1229	1023	822	1162	1970	451	498	832
BHMT2_-_78365638.23-P1P2|BHMT2_+_78365811.23-P1P2++BHMT2_-_78365638.23-P1P2|BHMT2_+_78365811.23-P1P2	BHMT2	1467	1841	1429	2057	2107	2275	2402	2441	2200	2288	2298	2380	5407	1469	1197	1342
ZNF524_+_56111862.23-P1P2|ZNF524_+_56111707.23-P1P2++ZNF524_+_56111862.23-P1P2|ZNF524_+_56111707.23-P1P2	ZNF524	3585	460	3547	3075	383	3087	1677	1637	658	629	965	652	3699	3004	3052	4861
OR4N4_-_22382463.23-ENST00000328795.4|OR4N4_+_22382856.23-ENST00000328795.4++OR4N4_-_22382463.23-ENST00000328795.4|OR4N4_+_22382856.23-ENST00000328795.4	OR4N4	414	214	153	230	427	471	288	289	328	423	774	375	1117	258	162	173
NFS1_+_34287226.23-P1P2|NFS1_-_34287220.23-P1P2++NFS1_+_34287226.23-P1P2|NFS1_-_34287220.23-P1P2	NFS1	685	81	58	180	17	94	72	41	2	14	38	30	112	530	659	845
SPANXN5_+_52826433.23-P1P2|SPANXN5_+_52826462.23-P1P2++SPANXN5_+_52826433.23-P1P2|SPANXN5_+_52826462.23-P1P2	SPANXN5	795	1168	695	817	757	999	1086	1508	868	1183	1330	1164	1758	760	478	780
LCN12_+_139846774.23-P1P2|LCN12_+_139846979.23-P1P2++LCN12_+_139846774.23-P1P2|LCN12_+_139846979.23-P1P2	LCN12	510	1098	1120	672	862	699	564	798	847	1264	932	1416	2404	431	611	827
CGN_-_151483884.23-P1P2|CGN_-_151483991.23-P1P2++CGN_-_151483884.23-P1P2|CGN_-_151483991.23-P1P2	CGN	1465	1401	821	1474	1708	1278	807	1655	1705	1842	2585	2045	3787	1076	1028	1208
ATRNL1_+_116853176.23-P1P2|ATRNL1_+_116853173.23-P1P2++ATRNL1_+_116853176.23-P1P2|ATRNL1_+_116853173.23-P1P2	ATRNL1	1334	1886	1428	1903	1851	1693	2075	1757	2146	1434	1499	2235	3971	1292	1494	900
NXT1_+_23331464.23-P1P2|NXT1_-_23331535.23-P1P2++NXT1_+_23331464.23-P1P2|NXT1_-_23331535.23-P1P2	NXT1	960	1030	1615	1647	1192	1972	2920	2096	1729	1672	1391	2430	4691	1077	1149	1537
FAM47B_-_34960988.23-P1P2|FAM47B_+_34961129.23-P1P2++FAM47B_-_34960988.23-P1P2|FAM47B_+_34961129.23-P1P2	FAM47B	1224	874	1168	1178	1277	1505	1115	1342	1485	1689	1489	1829	3011	983	1378	1017
HOXA6_+_27190488.23-P1P2|HOXA6_-_27190400.23-P1P2++HOXA6_+_27190488.23-P1P2|HOXA6_-_27190400.23-P1P2	HOXA6	936	856	798	1050	1468	1331	1724	1598	1598	1739	1728	1676	3910	728	920	866
CEACAM4_-_42133419.23-P1P2|CEACAM4_+_42133197.23-P1P2++CEACAM4_-_42133419.23-P1P2|CEACAM4_+_42133197.23-P1P2	CEACAM4	962	1304	1205	1030	1685	1600	1608	1493	2610	1793	2085	2120	4163	1157	1112	1044
PRSS33_+_2836673.23-ENST00000293851.5|PRSS33_+_2836676.23-ENST00000293851.5++PRSS33_+_2836673.23-ENST00000293851.5|PRSS33_+_2836676.23-ENST00000293851.5	PRSS33	1633	1923	1973	1724	2633	2436	2654	2638	2536	2567	3078	3062	5089	1275	1367	1520
SNTG1_-_50824168.23-P1P2|SNTG1_+_50824339.23-P1P2++SNTG1_-_50824168.23-P1P2|SNTG1_+_50824339.23-P1P2	SNTG1	1576	1852	1969	1719	1922	1757	1961	2163	1841	2017	2265	2143	3575	1374	1660	1862
OR5H6_-_97983160.23-ENST00000383696.2|OR5H6_+_97983483.23-ENST00000383696.2++OR5H6_-_97983160.23-ENST00000383696.2|OR5H6_+_97983483.23-ENST00000383696.2	OR5H6	576	611	612	812	1170	744	847	882	1081	1270	1341	1639	2129	536	610	438
ZNF233_-_44764121.23-P1P2|ZNF233_+_44764068.23-P1P2++ZNF233_-_44764121.23-P1P2|ZNF233_+_44764068.23-P1P2	ZNF233	688	740	716	1171	1347	1195	1335	1603	1445	1085	1234	1338	2270	766	673	635
UROS_-_127511786.23-P1P2|UROS_+_127511774.23-P1P2++UROS_-_127511786.23-P1P2|UROS_+_127511774.23-P1P2	UROS	1563	2191	2288	2067	2053	2105	2246	2455	2326	2095	2667	2315	4417	1152	1558	1580
PPP2R1A_+_52716201.23-P2|PPP2R1A_+_52716105.23-P2++PPP2R1A_+_52716201.23-P2|PPP2R1A_+_52716105.23-P2	PPP2R1A	1607	1229	1729	1483	1611	1270	1215	1458	1615	1513	1756	1838	2492	1626	1572	1576
GCLM_-_94374826.23-P1P2|GCLM_-_94374989.23-P1P2++GCLM_-_94374826.23-P1P2|GCLM_-_94374989.23-P1P2	GCLM	2006	2656	2319	1594	3255	2662	3048	3504	2804	3702	3229	3522	7072	1859	1431	1676
